transect,date,grazing status,dist_start_m,dist_stop_m,veg_type,biomass_cat,fuels_diam,height_m,notes
T02,20230718,post_grazing,10.8,11,bare,NA,NA,0,
T02,20230718,post_grazing,11,11.1,deadwood,NA,3,0,
T02,20230718,post_grazing,11.1,11.45,litter,NA,1,0,
T02,20230718,post_grazing,11.45,11.6,deadwood,NA,3,0,
T02,20230718,post_grazing,11.6,12.7,litter,NA,1,0,
T02,20230718,post_grazing,12.7,12.9,bare,NA,NA,0,
T02,20230718,post_grazing,12.9,14,litter,NA,1,0,
T02,20230718,post_grazing,14,14.05,deadwood,NA,3,0,
T02,20230718,post_grazing,14.05,14.55,litter,NA,1,0,
T02,20230718,post_grazing,14.55,14.95,deadwood,NA,2,0,
T02,20230718,post_grazing,14.95,15.3,nasturtium,NA,1,0.35,
T02,20230718,post_grazing,15.3,15.6,deadwood,NA,3,0,
T02,20230718,post_grazing,15.6,16.75,litter,NA,1,0,
T02,20230718,post_grazing,16.75,16.85,ivy,NA,1,0.1,
T02,20230718,post_grazing,16.85,17,deadwood,NA,2,0,
T02,20230718,post_grazing,17,17.2,litter,NA,1,0,
T02,20230718,post_grazing,17.2,17.6,ivy,NA,1,0.5,
T02,20230718,post_grazing,17.6,17.9,litter,NA,1,0,
T02,20230718,post_grazing,17.9,18.1,ivy,NA,1,0.1,
T02,20230718,post_grazing,18.1,18.7,litter,NA,1,0,
T02,20230718,post_grazing,18.7,19.2,ivy,NA,1,0.1,
T02,20230718,post_grazing,19.2,19.3,forb,NA,1,0.3,
T02,20230718,post_grazing,19.3,20,ivy,NA,1,0.25,
