"","tsect_obs","ht_wtavg_m"
"1","T01_initial_may",0.6875
"2","T01_pg01_june",0.044
"3","T01_pg02_july",0.186
"4","T02_initial_may",0.288125
"5","T02_pg01_june",0.04168
"6","T02_pg02_july",0.07775
"7","T03_initial_may",0.84072
"8","T03_pg01_june",0.4195
"9","T03_pg02_july",0.3795
"10","T04_initial_may",0.9927
"11","T04_pg01_june",0.1845
"12","T04_pg02_july",0.1305
"13","T05_initial_may",0.69475
"14","T05_pg01_june",0.08825
"15","T05_pg02_july",0.116625
"16","T06_initial_may",0.812
"17","T06_pg01_june",0.283
"18","T06_pg02_july",0.378575
"19","T07_initial_may",0.50775
"20","T07_pg01_june",0.502015
"21","T07_pg02_july",0.23735
"22","T08_initial_may",0.85775
"23","T08_pg01_june",0.81247
"24","T08_pg02_july",0.8525
"25","T09_initial_may",0.2775
"26","T09_pg01_june",0.269145
"27","T09_pg02_july",0.3439
